MERY.PA_prix;LI.PA_prix;COV.PA_prix;NK.PA_prix;BNP.PA_prix;ACA.PA_prix;CS.PA_prix;EN.PA_prix;DG.PA_prix;AI.PA_prix;SAN.PA_prix;ORA.PA_prix;ITP.PA_prix;RCO.PA_prix;ERA.PA_prix;BN.PA_prix;TTE.PA_prix;RUI.PA_prix;ABCA.PA_prix;ALTA.PA_prix;VCT.PA_prix;ICAD.PA_prix
30.290001;47.169796;145.418381;62.758415;84.699997;28.587891;30.28941;49.619999;48.325001;47.085999;70.599998;21.27;7.12695;48.799999;122.5;54.918095;55.150002;13.916732;3.6;148.460876;86.300003;90
29.799999;46.519176;143.060257;63.173729;85.5;28.01018;31.266487;49.810001;48.400002;46.726563;70.349998;21.379999;7.052523;48.759998;120;55.153996;54.549999;13.823016;3.62;149.935654;86.5;90
30.08;46.193871;143.25676;62.343102;85.300003;28.460939;31.266487;49.169998;47.825001;46.392799;70.300003;21.68;7.090742;49.049999;116.400002;54.776554;53.450001;13.881589;3.6;164.191833;85;90.5
30.799999;45.217941;143.846298;62.204666;84.099998;28.158825;30.28941;48.84;47.5;45.673931;70.099998;21.610001;7.024361;48.34;115.5;54.682194;52.75;13.928446;3.71;168.124557;84.5;90.5
30.73;44.892632;142.470718;61.881645;84.099998;28.069967;30.28941;49.150002;47.400002;45.365845;69.199997;21.66;6.959991;48.93;115.800003;54.163204;52.5;13.823016;3.7;167.141373;86.150002;92
29.700001;43.591396;142.96199;62.758415;83.900002;28.363197;31.266487;49.700001;48.025002;45.648258;68.650002;22.25;6.839297;48.98;115;54.021664;51.849998;13.75273;3.7;167.141373;84;92
29.549999;42.940781;143.453278;62.481541;82.699997;28.309881;30.28941;49.07;47.625;45.648258;69.099998;21.870001;6.937864;49;114;53.738583;51.25;13.436441;3.59;168.124557;84;92
29.23;42.940781;141.782928;63.727482;85;29.14514;31.266487;49.75;47.974998;46.392799;70.449997;22.09;6.937864;49.080002;115.5;54.446289;52.150002;13.424726;3.59;167.141373;84.300003;92
29.209999;43.591396;142.96199;63.542896;85.199997;29.260654;32.243565;50.5;48.375;46.213085;70.449997;22.16;6.879529;49.360001;116.800003;54.870914;52.200001;13.35444;3.62;168.911118;85.550003;91.5
28.91;44.242016;144.828857;63.819771;85.5;29.367283;32.243565;50.349998;48.450001;46.392799;70.900002;22.290001;6.82924;49.82;116.900002;54.870914;52.400002;13.260724;3.66;169.00943;84.5;91.5
28.66;44.242016;144.828857;64.050499;85;28.931883;32.243565;49.970001;48.200001;46.675213;70.650002;22.17;6.698488;49.209999;117.5;54.351929;51.700001;13.202152;3.69;169.107758;84.900002;97
28.639999;43.916706;144.632339;64.511963;83.900002;28.594225;31.266487;50.099998;48.625;46.572517;70.599998;22.030001;6.638142;51.400002;118.699997;54.068844;51.549999;13.14358;3.66;171.074112;84.900002;97
28.4;43.591396;145.221878;64.742691;83.599998;28.567568;32.243565;50.650002;49.299999;46.161736;70.599998;21.85;6.738719;51.049999;120.400002;53.738583;51.400002;13.026436;3.69;174.023666;85.050003;97
29.76;43.266087;145.320129;65.250298;84.5;29.313969;32.243565;52.049999;52.450001;46.341454;71.25;21.99;6.795043;51;121.099998;54.068844;51.950001;13.014721;3.68;176.973221;85.599998;97
29.709999;44.242016;146.40094;65.527168;83.199997;29.154024;31.266487;52.049999;52.75;46.136063;70.400002;21.73;6.974072;50.200001;121;53.880123;51.650002;13.495013;3.73;182.87233;85;97
29.700001;44.567326;145.909668;65.988632;83.5;29.322853;31.266487;51.400002;53.25;46.675213;70.5;21.549999;7.161147;51;120.400002;54.021664;52.049999;13.495013;3.71;185.723572;85.800003;97
29.879999;45.868561;151.60849;66.957695;84.800003;29.882654;32.243565;53.700001;53.200001;46.880608;71.199997;21.790001;7.130973;51;121.599998;54.870914;52.299999;13.495013;3.72;187.788254;85;97.800003
29.76;45.543251;149.053848;66.127068;84.599998;29.660511;31.266487;53.049999;52.599998;45.648258;70.900002;21.549999;7.171204;50.650002;122;54.58783;51.950001;13.424726;3.71;188.771439;82.300003;98.699997
29.65;45.217941;149.348618;66.680817;83.099998;29.198454;31.266487;52.75;52.099998;45.442863;69.949997;21.370001;7.141031;50.650002;122.900002;54.682194;51.700001;13.295867;3.7;189.754623;82.150002;98.949997
30.139999;44.892632;150.036407;67.373009;84.199997;29.154024;31.266487;53.299999;53.049999;46.315781;69;21.18;7.120916;50.950001;126;56.239147;51.650002;13.705872;3.71;192.704178;85;98.949997
29.799999;44.567326;150.036407;67.419151;85.599998;29.385054;32.243565;53.299999;53.349998;45.956345;68.550003;21.290001;7.137008;50.299999;126;56.144787;51.849998;13.659015;3.76;196.735229;85.449997;98.949997
31;44.242016;150.331177;67.188423;85.599998;29.198454;31.266487;51.849998;52.700001;45.879322;67.449997;21.200001;7.181262;49.900002;125.099998;55.767342;51.799999;13.577014;3.77;199.094879;85;98
31.4;44.567326;149.83989;67.926758;86.199997;29.340626;32.243565;52.799999;53.599998;46.315781;67.699997;21.26;7.19132;50.200001;129.399994;55.814526;52.650002;13.823016;3.78;199.586472;85;98
32.099998;46.193871;151.117218;68.203629;86.900002;29.882654;32.243565;53.150002;54.599998;46.11039;67.650002;21.09;7.167181;50.299999;127.900002;56.050426;52.650002;13.705872;3.84;200.569656;85;99
32;47.820412;151.706757;67.788322;86.800003;29.740482;32.243565;53.450001;54.650002;46.136063;68.099998;21.23;7.205401;50.200001;128;55.814526;53;13.787873;3.92;198.603287;85;99
32.200001;48.796341;152.591049;67.788322;86.900002;29.491682;32.243565;53;54;46.11039;68.25;21.25;7.213447;50.5;129.100006;55.908886;52.75;14.080734;3.97;201.552841;85.400002;98
31.35;49.446957;158.19162;68.5728;87.699997;29.838224;32.243565;53.099998;54.200001;46.367126;67.800003;21.459999;7.231551;51.549999;129.899994;56.144787;52.849998;14.807028;4.04;202.536026;85.300003;98.5
